YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2024-04,WEEKENDS/HOLIDAY,15,TRAIN,EW26,13330,12858
2024-04,WEEKDAY,15,TRAIN,EW26,23239,24131
2024-04,WEEKENDS/HOLIDAY,17,TRAIN,TE13,2149,1691
2024-04,WEEKDAY,17,TRAIN,TE13,8781,4397
2024-04,WEEKENDS/HOLIDAY,9,TRAIN,EW23,21764,17103
2024-04,WEEKDAY,9,TRAIN,EW23,55342,53136
2024-04,WEEKENDS/HOLIDAY,21,TRAIN,DT34,944,2514
2024-04,WEEKDAY,21,TRAIN,DT34,3018,5249
2024-04,WEEKDAY,15,TRAIN,NS5,21234,26643
2024-04,WEEKENDS/HOLIDAY,15,TRAIN,NS5,11644,13663
2024-04,WEEKENDS/HOLIDAY,11,TRAIN,DT13,5693,7161
2024-04,WEEKDAY,11,TRAIN,DT13,9765,14845
2024-04,WEEKENDS/HOLIDAY,20,TRAIN,DT27,2300,4434
2024-04,WEEKDAY,20,TRAIN,DT27,8405,10613
2024-04,WEEKDAY,20,TRAIN,SW3,858,3644
2024-04,WEEKENDS/HOLIDAY,20,TRAIN,SW3,433,1304
2024-04,WEEKDAY,14,TRAIN,EW16/NE3/TE17,30450,35466
2024-04,WEEKENDS/HOLIDAY,14,TRAIN,EW16/NE3/TE17,11557,8607
2024-04,WEEKDAY,20,TRAIN,DT5,12734,17476
2024-04,WEEKENDS/HOLIDAY,20,TRAIN,DT5,4183,6726
2024-04,WEEKENDS/HOLIDAY,15,TRAIN,DT22,5217,6003
2024-04,WEEKDAY,15,TRAIN,DT22,7119,8263
2024-04,WEEKDAY,21,TRAIN,CC27,5313,813
2024-04,WEEKENDS/HOLIDAY,21,TRAIN,CC27,816,249
2024-04,WEEKENDS/HOLIDAY,15,TRAIN,SE4,1504,1583
2024-04,WEEKDAY,15,TRAIN,SE4,2797,3962
2024-04,WEEKENDS/HOLIDAY,19,TRAIN,PW6,379,802
2024-04,WEEKDAY,19,TRAIN,PW6,1090,3495
2024-04,WEEKENDS/HOLIDAY,8,TRAIN,NE10,5837,4684
2024-04,WEEKDAY,8,TRAIN,NE10,43379,39411
2024-04,WEEKDAY,19,TRAIN,EW26,26620,80079
2024-04,WEEKENDS/HOLIDAY,19,TRAIN,EW26,10920,17982
2024-04,WEEKENDS/HOLIDAY,6,TRAIN,BP3,1418,268
2024-04,WEEKDAY,6,TRAIN,BP3,14069,1199
2024-04,WEEKDAY,13,TRAIN,EW12/DT14,64189,65443
2024-04,WEEKENDS/HOLIDAY,13,TRAIN,EW12/DT14,31831,46388
2024-04,WEEKENDS/HOLIDAY,8,TRAIN,CG2,6057,9374
2024-04,WEEKDAY,8,TRAIN,CG2,14430,35380
2024-04,WEEKENDS/HOLIDAY,20,TRAIN,NE13,7050,10299
2024-04,WEEKDAY,20,TRAIN,NE13,18119,30298
2024-04,WEEKENDS/HOLIDAY,19,TRAIN,NS17/CC15,17169,19990
2024-04,WEEKDAY,19,TRAIN,NS17/CC15,55713,89936
2024-04,WEEKDAY,14,TRAIN,TE8,8032,8142
