,h3_index,h3_address,latitude,longitude,geometry,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
49,112,876520d96ffffff,1.3333932040264536,103.87278068495333,"POLYGON ((103.88574915743565 1.3298185705483503, 103.882596240799 1.3428719305134098, 103.86962702247827 1.346447220941025, 103.85981113567044 1.3369680556361725, 103.86296524477537 1.3239144771205373, 103.87593404843454 1.3203402822679917, 103.88574915743565 1.3298185705483503))",415.20972,296.33777,165.61682,113.62294,129.55048,171.02881,193.87189,201.74062,221.04921,320.32428,454.5534,311.1715,125.27415,98.75023,74.26068,27.195837
50,122,876520ca2ffffff,1.3596683438701729,103.73321823578286,"POLYGON ((103.74619774372594 1.3560919904715407, 103.74303693351146 1.3691514436646954, 103.73005668206191 1.3727284457833266, 103.72023766400768 1.3632449100393598, 103.72339966200339 1.350185249367376, 103.73637949048889 1.3466093317258558, 103.74619774372594 1.3560919904715407))",262.03452,154.12732,115.0229,92.448105,128.84328,104.695564,113.79625,112.638115,100.67411,173.74995,161.21822,91.68044,69.88434,48.54795,25.20239,14.655426
51,123,87652634dffffff,1.4165669745772949,103.79213226128724,"POLYGON ((103.80510982977702 1.4129879974808313, 103.80195169064754 1.4260500776602685, 103.7889733773531 1.4296297046297497, 103.77915362303837 1.4201461629826848, 103.78231295242928 1.4070838686539529, 103.79529084608954 1.403505329929531, 103.80510982977702 1.4129879974808313))",430.62778,177.63672,147.83109,171.56166,248.89291,208.12392,151.97868,163.10732,220.35225,312.8552,291.3372,136.27301,58.85703,65.06712,42.67901,20.309834
52,125,876526ad0ffffff,1.3688051328968758,104.00945826818445,"POLYGON ((104.02241821618804 1.3652291703569686, 104.01927247184574 1.3782811748226018, 104.0063117754698 1.3818578002698463, 103.99649723033046 1.372381315470655, 103.99964417213006 1.359329079828632, 104.01260446182451 1.3557535599701214, 104.02241821618804 1.3652291703569686))",20.400784,17.438389,24.874136,39.840397,33.704292,22.844864,40.300003,54.943718,54.37832,50.275494,116.20602,66.41351,13.94078,0.20010185,-0.014369739,0.09715465
53,126,876520ca1ffffff,1.331219081657985,103.703762888589,"POLYGON ((103.71674335584503 1.3276440342212938, 103.71358121274734 1.340702161511573, 103.70060000263561 1.3442778570911098, 103.69078136046642 1.3347943425976518, 103.69394469010263 1.321736011161814, 103.70692547558666 1.3181613981725244, 103.71674335584503 1.3276440342212938))",970.7793,235.25462,234.52074,309.15076,579.81793,581.9782,425.92374,414.35928,607.6718,1133.6893,1798.3444,723.4371,658.6573,464.64157,289.73825,115.38177
54,127,876520d9cffffff,1.3156782951100048,103.8044198843196,"POLYGON ((103.81739256597116 1.3121043213006798, 103.81423607443938 1.325158330600942, 103.80126264822724 1.328732958375338, 103.79144613241267 1.3192524861014725, 103.79460381390041 1.3061982645677734, 103.80757682146245 1.3026247273489049, 103.81739256597116 1.3121043213006798))",323.89664,285.51492,119.16136,110.96732,140.62677,222.49026,117.91075,225.04784,311.88177,386.95032,412.52573,281.2229,177.34244,160.8262,147.5586,42.427055
55,129,876520ca3ffffff,1.3537613800234791,103.71041877067414,"POLYGON ((103.72339966200339 1.350185249367376, 103.72023766400768 1.3632449100393598, 103.70725602960225 1.366821688417406, 103.69743681770333 1.3573377231325918, 103.70060000263561 1.3442778570911098, 103.71358121274734 1.340702161511573, 103.72339966200339 1.350185249367376))",364.97552,126.61394,110.37968,101.347595,138.80267,199.8904,168.08101,137.92308,124.80715,212.65778,209.02928,118.3359,83.408615,53.064053,31.044601,14.992679
56,130,876520d92ffffff,1.3500227286981847,103.85665672756724,"POLYGON ((103.86962702247827 1.346447220941025, 103.86647306098601 1.3595023316754573, 103.8535020204423 1.3630784949699075, 103.84368535726132 1.3535984532251224, 103.8468405107822 1.3405431248181052, 103.85981113567044 1.3369680556361725, 103.86962702247827 1.346447220941025))",276.86545,236.38838,137.42635,98.365974,117.15003,177.72414,128.86098,141.56445,169.08884,110.43502,151.62997,280.47357,119.403114,99.40475,66.341095,30.42133
57,131,876526340ffffff,1.4342760194024142,103.86051745067604,"POLYGON ((103.87349081367931 1.43069635969269, 103.87033625037043 1.4437577847675855, 103.85736214128214 1.4473380973413135, 103.84754301135985 1.4378558913788622, 103.85069876744701 1.424794245826658, 103.8636724608933 1.421215026522301, 103.87349081367931 1.43069635969269))",10.487784,13.847537,5.1440535,9.148888,4.8998075,5.654072,4.744651,3.4999928,2.925626,5.9524918,4.265253,2.522412,2.0636153,1.5018344,1.509091,0.86814004
58,133,876520d98ffffff,1.332307802528715,103.78828815197144,"POLYGON ((103.80126264822724 1.328732958375338, 103.79810511316208 1.341788715808257, 103.7851298725534 1.3453642125124379, 103.77531258687033 1.335882862500946, 103.77847131144851 1.3228268937153145, 103.79144613241267 1.3192524861014725, 103.80126264822724 1.328732958375338))",452.5952,327.70258,170.01822,324.68054,345.3967,257.15228,455.76962,484.03745,462.3415,502.5406,872.33356,376.64502,165.80313,230.14272,127.642876,30.555424
59,134,876526acaffffff,1.3451998493664004,103.9183464474132,"POLYGON ((103.93131209411244 1.3416247743039629, 103.92816156491546 1.3546776908528833, 103.91519517152994 1.358253424852427, 103.90537971955744 1.3487751431940527, 103.908531442891 1.3357220038846724, 103.92149742427456 1.3321473688018757, 103.93131209411244 1.3416247743039629))",687.3895,334.2928,235.45436,134.0199,149.3455,135.65547,138.5765,120.22848,140.97568,307.66733,265.02097,183.14452,112.64474,102.44297,65.94926,41.726326
60,135,876526ac2ffffff,1.3403769456754195,103.98001630513836,"POLYGON ((103.99297727590823 1.3368023098795927, 103.98983018425666 1.3498530169705802, 103.97686846575323 1.3534283150974038, 103.96705424746357 1.3439518022290973, 103.97020253534912 1.3309008672958413, 103.98316384550351 1.3273266728809432, 103.99297727590823 1.3368023098795927))",7.1596136,4.415541,2.0451276,1.8203825,2.0307372,2.1017778,3.1643019,2.646595,5.765637,8.552992,8.397067,8.026138,5.1089077,2.868513,3.204317,2.3157077
61,137,876526ad1ffffff,1.3629048199622196,103.9866827935669,"POLYGON ((103.99964417213006 1.359329079828632, 103.99649723033046 1.372381315470655, 103.98353510381529 1.3759577175196456, 103.97372032732454 1.36648077981233, 103.97686846575323 1.3534283150974038, 103.98983018425666 1.3498530169705802, 103.99964417213006 1.359329079828632))",7.9998,8.440422,5.925632,7.477495,9.7752,11.012141,4.2561765,15.269445,15.303162,16.88433,14.870228,15.460154,12.31742,11.444564,11.828902,5.1377625
62,138,876520d9effffff,1.3382134346795274,103.81107928393888,"POLYGON ((103.82405238368568 1.3346383696865007, 103.82089603897339 1.3476939136597839, 103.80792219444629 1.3512696321995141, 103.79810511316208 1.341788715808257, 103.80126264822724 1.328732958375338, 103.81423607443938 1.325158330600942, 103.82405238368568 1.3346383696865007))",27.964762,27.494572,19.016426,32.311245,42.662968,59.113087,110.549225,123.331604,103.3924,169.03029,223.6448,71.45097,29.631529,24.713335,12.267326,3.6084332
63,139,876520c13ffffff,1.3027699036623577,103.67430867244236,"POLYGON ((103.68729009206783 1.2991961582570106, 103.68412661786236 1.3122529513782275, 103.671144456033 1.31582734434885, 103.66132619491715 1.3063438633041449, 103.6644908544167 1.293286869369308, 103.67747258995554 1.2897135571001832, 103.68729009206783 1.2991961582570106))",9.429621,9.342953,17.698053,28.930483,68.41835,67.81688,61.21042,67.52423,95.19554,197.7102,208.37177,152.51674,115.54848,51.481106,16.471079,2.9487393
64,140,876520d90ffffff,1.3274888903473656,103.8499953653004,"POLYGON ((103.86296524477537 1.3239144771205373, 103.85981113567044 1.3369680556361725, 103.8468405107822 1.3405431248181052, 103.83702441120512 1.3310635213891948, 103.84017971194218 1.3180097264283923, 103.85314992083924 1.314435751149279, 103.86296524477537 1.3239144771205373))",462.7258,322.46567,149.66165,120.84587,155.29991,165.14346,177.71736,159.90416,221.48395,433.13205,356.77545,317.19238,175.4307,173.99068,112.65746,42.475124
65,145,876526ad9ffffff,1.3677317015964654,103.92501073667798,"POLYGON ((103.93797679482367 1.3641555269907724, 103.93482641442736 1.3772099720726385, 103.9218596093765 1.3807868051984415, 103.91204359660128 1.3713080939239661, 103.91519517152994 1.358253424852427, 103.92816156491546 1.3546776908528833, 103.93797679482367 1.3641555269907724))",166.15268,67.392265,54.3561,56.65629,49.597595,51.82142,67.63786,59.33301,70.590256,90.909096,138.27766,104.03084,62.840015,55.781033,34.41193,13.397529
66,146,876526375ffffff,1.406900285628899,103.91555645748744,"POLYGON ((103.92852475636353 1.4033221372921822, 103.9253734786489 1.4163798547545687, 103.91240443285284 1.4199586597812424, 103.90258707730807 1.4104786492811527, 103.90573954951384 1.3974207074761071, 103.91870818298749 1.3938430003218178, 103.92852475636353 1.4033221372921822))",421.84906,291.8195,171.34769,150.64076,160.51855,264.83936,180.2406,157.24022,167.9182,248.07611,189.90302,105.25921,63.824097,60.018345,32.68025,13.297218
67,150,876520cacffffff,1.3253108378984533,103.68096284474082,"POLYGON ((103.69394469010263 1.321736011161814, 103.69078136046642 1.3347943425976518, 103.67779877268015 1.3383698164789597, 103.66797994070448 1.3288858778212336, 103.671144456033 1.31582734434885, 103.68412661786236 1.3122529513782275, 103.69394469010263 1.321736011161814))",199.86212,37.72216,38.83003,87.47485,177.54736,216.98344,174.1476,268.51694,381.66418,424.38083,731.5724,769.9121,541.3597,256.5276,100.51071,23.430012
